OrderedID,ZLocation,Z,ZGeocode_na,Zlat,Zlon,UR2022_V1,UR2022_V_1,UR2022_V_2,IUR2022_V1,IUR2022_1,LAND_AREA,AREA_SQ_KM,Shape_Leng,Xcoordinate,Ycoordinate
126,Motueka,0.26,Motueka,-41.112493,173.0094875,2010,Motueka,Motueka,14,Small urban area,13.40581429,13.40581429,23157.4024472862,173.004495932,-41.1208362309999
127,Upper Hutt,0.42,Upper Hutt,-41.1240674,175.0699589,1398,Upper Hutt,Upper Hutt,12,Large urban area,51.16022748,51.16022748,59502.1939748675,175.0699589,-41.1240673999999
128,Lower Hutt,0.40,Hutt Valley south of Taita Gorge,-41.196,174.932,1399,Lower Hutt,Lower Hutt,11,Major urban area,78.53208685,78.6603558,107752.929960274,174.903276396,-41.2123988229999
129,,,,,,1411,Martinborough,Martinborough,14,Small urban area,4.49940184,4.49940184,10196.6330148115,175.458625392,-41.2198197499999
130,,,,,,2016,Māpua,Mapua,14,Small urban area,2.3164847,2.3164847,9969.1564812017,173.094722968,-41.2517897889999
131,Wainuiomata,0.4,Wainuiomata,-41.2618075,174.9480696,,Wainuiomata,Wainuiomata,,Urban,0,0,0,174.945306157,-41.261004854
132,Nelson,0.27,Nelson,-41.2710849,173.2836756,2024,Nelson,Nelson,12,Large urban area,54.33506848,54.33506848,73200.2007547478,173.2836756,-41.2710849
133,Picton,0.30,Picton,-41.290916,174.006908,2033,Picton,Picton,14,Small urban area,9.16456883,9.16456883,34396.7911133755,174.017774944,-41.2809597899999
134,Wellington CBD,0.40,Wellington CBD,-41.2821003,174.7759494,,Wellington CBD,Wellington CBD,,Urban,0,0,0,174.7759494,-41.2821003
135,Wellington,0.40,Wellington,-41.2887953,174.7772114,1402,Wellington,Wellington,11,Major urban area,112.35687316,112.49305792,119568.812672265,174.7772114,-41.2887952999999
136,Eastbourne,0.40,Eastbourne Point Howard,-41.292,174.897,,Eastbourne,Eastbourne,,Urban,0,0,0,174.895603197,-41.2953691119999
137,,,,,,2020,Richmond,Richmond,13,Medium urban area,17.3684967,17.3684967,23787.621095948,173.182284783,-41.3409921049999
138,,,,,,2019,Hope,Hope,14,Small urban area,7.54407244,7.54407244,17293.5425257642,173.142825573,-41.367033568
139,,,,,,2018,Brightwater,Brightwater,14,Small urban area,4.66708276,4.66708276,12180.7939835287,173.107697192,-41.3770497799999
140,,,,,,2017,Wakefield,Wakefield,14,Small urban area,9.92316763,9.92316763,18051.0795731238,173.044214458,-41.4106675159999
141,,,,,,2035,Renwick,Renwick,14,Small urban area,2.31964386,2.31964386,7457.49377360199,173.825918892,-41.508137452
142,Blenheim,0.33,Blenheim,-41.5118691,173.9545856,2042,Blenheim,Blenheim,13,Medium urban area,17.20432693,17.20432693,27199.1796728429,173.948198286,-41.520502523
