OrderedID,ZLocation,Z,ZGeocode_na,Zlat,Zlon,UR2022_V1,UR2022_V_1,UR2022_V_2,IUR2022_V1,IUR2022_1,LAND_AREA,AREA_SQ_KM,Shape_Leng,Xcoordinate,Ycoordinate
46,,,,,,1162,Te Kauwhata,Te Kauwhata,14,Small urban area,8.10853266,8.10853266,16583.3747589111,175.141034084,-37.408174619
47,,,,,,1421,Waihī Beach-Bowentown,Waihi Beach-Bowentown,14,Small urban area,6.31401976,6.31401976,24425.6752076173,175.955609759,-37.42806489
48,Te Aroha,0.18,Te Aroha,-37.5429037,175.7126747,1174,Te Aroha,Te Aroha,14,Small urban area,10.96718288,10.96718288,25629.2701311283,175.704684776,-37.543310665
49,Huntly,0.15,Huntly,-37.5606311,175.1599758,1166,Huntly,Huntly,14,Small urban area,17.10982114,17.10982114,27192.7896150886,175.159989802,-37.5479113929999
50,,,,,,1226,Katikati,Katikati,14,Small urban area,9.53763923,9.53763923,20312.7227322211,175.925477583,-37.552147211
51,,,,,,1229,Ōmokoroa,Omokoroa,14,Small urban area,3.82609332,3.82609332,13889.8097727696,176.034097627,-37.643057217
52,Mount Maunganui,0.20,Mount Maunganui,-37.6380218,176.1838841,,Mount Maunganui,Mount Maunganui,,Urban,0,0,0,176.188213232,-37.643394066
53,Morrinsville,0.18,Morrinsville,-37.6578873,175.5304788,1173,Morrinsville,Morrinsville,14,Small urban area,7.7804842,7.7804842,14023.6561355483,175.527600259,-37.6528494569999
54,Ngaruawahia,0.15,Ngaruawahia,-37.6662658,175.1500534,1169,Ngāruawāhia,Ngaruawahia,14,Small urban area,11.9811087,11.9811087,23118.4616446951,175.150888044,-37.6709570789999
55,Tauranga,0.20,Tauranga,-37.6859006,176.167505,1239,Tauranga,Tauranga,11,Major urban area,141.91432015,142.15151284,179337.578475497,176.167505,-37.6859006
56,Te Puke,0.22,Te Puke,-37.7853294,176.3270238,1234,Te Puke,Te Puke,14,Small urban area,13.38972795,13.38972795,21894.8892415403,176.311167094,-37.787557981
57,Hamilton,0.16,Hamilton,-37.7878809,175.281788,1180,Hamilton,Hamilton,11,Major urban area,110.37313352,110.37313352,74549.2531076203,175.281788,-37.7878808999999
58,,,,,,1167,Raglan,Raglan,14,Small urban area,4.90205511,4.90205511,25411.2740842075,174.86657768,-37.8069150599999
59,Matamata,0.19,Matamata,-37.8095635,175.7732759,1179,Matamata,Matamata,14,Small urban area,6.15082481,6.15082481,13315.986931549,175.773405311,-37.814921925
60,Cambridge,0.18,Cambridge,-37.8917889,175.4691069,1186,Cambridge,Cambridge,13,Medium urban area,26.685298,26.685298,30073.4741419785,175.462212742,-37.8903302319999
61,Ruatoria,0.33,Ruatoria,-37.8919955,178.3187514,1271,Ruatōria,Ruatoria,21,Rural settlement,13.18740048,13.18740048,18015.3687102504,178.319444733,-37.8969457169999
62,Whakatane,0.30,Whakatane,-37.9519223,176.9945977,1257,Whakatāne,Whakatane,13,Medium urban area,24.78761569,24.78761569,27478.8871858522,176.970510414,-37.950399165
63,,,,,,1255,Edgecumbe,Edgecumbe,14,Small urban area,2.0077366,2.0077366,9490.88915622482,176.829089151,-37.973714937
64,,,,,,1258,Ōhope,Ohope,14,Small urban area,6.33352731,6.33352731,29239.0554121575,177.08739719,-37.977217557
65,,,,,,1184,Pirongia,Pirongia,14,Small urban area,3.26991139,3.26991139,9420.51960453872,175.204669613,-37.9943735919999
66,Te Awamutu,0.17,Te Awamutu,-38.0101564,175.3257827,1187,Te Awamutu,Te Awamutu,13,Medium urban area,12.47845678,12.47845678,19217.0773155335,175.327702165,-38.009928105
67,Opotiki,0.30,Opotiki,-38.0042441,177.2871265,1266,Ōpōtiki,Opotiki,14,Small urban area,10.20213382,10.20213382,24228.7253515675,177.274774916,-38.0162135849999
68,,,,,,1189,Kihikihi,Kihikihi,14,Small urban area,10.09255311,10.09255311,19478.5299347852,175.336681648,-38.0370274169999
69,Putaruru,0.21,Putaruru,-38.0512585,175.7799503,1197,Putāruru,Putaruru,14,Small urban area,6.81397935,6.81397935,21651.445338714,175.78466017,-38.0529398379999
70,,,,,,1242,Ngongotahā,Ngongotaha,14,Small urban area,12.90642058,12.90642058,25110.1858669114,176.212527822,-38.0891292229999
71,Kawerau,0.29,Kawerau,-38.0857434,176.7033298,1263,Kawerau,Kawerau,14,Small urban area,23.56207482,23.56207482,25998.283187937,176.690683322,-38.0894846419999
72,Rotorua,0.24,Rotorua,-38.1381493,176.252922,1246,Rotorua,Rotorua,12,Large urban area,48.03425668,48.03425668,59255.2972124233,176.259811724,-38.1366087449999
73,Otorohanga,0.17,Otorohanga,-38.1823014,175.2155142,1193,Ōtorohanga,Otorohanga,14,Small urban area,5.07418256,5.07418256,13245.356386153,175.216772318,-38.18318669
74,Tokoroa,0.21,Tokoroa,-38.2168677,175.8705389,1199,Tokoroa,Tokoroa,13,Medium urban area,15.64566743,15.64566743,21765.738628897,175.867886437,-38.223680498
75,Te Kuiti,0.18,Te Kuiti,-38.3341925,175.1657117,1204,Te Kūiti,Te Kuiti,14,Small urban area,8.4116956,8.4116956,21267.2425708807,175.170439293,-38.334880025
76,Mangakino,0.21,Mangakino,-38.3712616,175.7681491,1207,Mangakino,Mangakino,21,Rural settlement,3.20969531,3.20969531,8845.9949682157,175.774088842,-38.367129951
77,Murupara,0.30,Murupara,-38.4563728,176.7060277,1262,Murupara,Murupara,14,Small urban area,6.25994106,6.25994106,12364.4346266075,176.706543281,-38.453981074
78,Gisborne,0.36,Gisborne,-38.661326,178.0206487,1278,Gisborne,Gisborne,12,Large urban area,36.16857952,36.16857952,51192.9337151174,178.022153402,-38.663892452
79,Taupo,0.28,Taupo,-38.6866197,176.0694773,1215,Taupō,Taupo,13,Medium urban area,42.9477134,42.9477134,59645.7469127975,176.07912597,-38.694642065
80,Taumarunui,0.21,Taumarunui,-38.8813562,175.2662649,1331,Taumarunui,Taumarunui,14,Small urban area,13.65459124,13.65459124,35143.0008371755,175.277469489,-38.8825295829999
81,Turangi,0.27,Turangi,-38.9887347,175.8089539,1217,Tūrangi,Turangi,14,Small urban area,7.53227712,7.53227712,16630.5732008809,175.806068699,-38.9928463419999
82,Waitara,0.18,Waitara,-39.0028236,174.2364324,1308,Waitara,Waitara,14,Small urban area,5.66179722,5.66179722,13611.6641377877,174.233514074,-38.9966249029999
83,Wairoa,0.37,Wairoa,-39.03939,177.4271389,1283,Wairoa,Wairoa,14,Small urban area,7.56771463,7.56771463,12642.492969982,177.418980702,-39.0390848549999
84,New Plymouth,0.18,New Plymouth,-39.0579941,174.0806474,1307,New Plymouth,New Plymouth,12,Large urban area,75.50164333,75.50164333,73976.5725157218,174.0806474,-39.0579941
85,,,,,,1305,Ōakura (New Plymouth District),Oakura (New Plymouth District),14,Small urban area,1.68369958,1.68369958,8349.57011458397,173.95254554,-39.118556628
86,Inglewood,0.18,Inglewood,-39.1582835,174.2124763,1313,Inglewood,Inglewood,14,Small urban area,3.03162871,3.03162871,9472.55054264114,174.201144636,-39.1566562899999
87,Stratford,0.18,Stratford,-39.3388499,174.2875945,1316,Stratford,Stratford,14,Small urban area,8.5377995,8.5377995,13108.1694879763,174.285240536,-39.337950835
